Timestamp,voltage_1,voltage_2,voltage_3
42669.6768150838,0.197483,-0.000334,0.220379
42669.6768150954,0.197796,-0.000334,0.221629
42669.676815107,0.197796,-0.000646,0.221941
42669.6768151185,0.197796,-0.000334,0.222254
42669.6768151301,0.197483,-0.000646,0.221941
42669.6768151417,0.197483,-0.000334,0.221629
42669.6768151533,0.197483,-0.000646,0.221629
42669.6768151648,0.197483,-0.000646,0.222566
42669.6768151764,0.198108,-0.000334,0.222879
42669.676815188,0.197483,-0.000646,0.220379
42669.6768398066,0.197483,-0.000334,0.223816
42669.6768398182,0.197796,-0.000334,0.222566
42669.6768398298,0.19717,-0.000334,0.223191
42669.6768398414,0.197483,-0.000334,0.222879
42669.6768398529,0.197483,-0.000334,0.223504
42669.6768398645,0.19717,-0.000646,0.222879
42669.6768398761,0.197483,0.000291,0.221629
42669.6768398877,0.197483,0.000291,0.221941
42669.6768398992,0.197483,-0.000334,0.220691
42669.6768399108,0.19717,-2.2e-05,0.221941
42669.6768399224,0.198108,-0.000334,0.224754
42669.676839934,0.198421,-0.000958,0.228191
42669.6768399455,0.197483,-0.001271,0.222879
42669.6768399571,0.197796,-0.000334,0.223816
42669.6768399687,0.197483,0.000291,0.221316
42669.6768399802,0.197483,-0.000334,0.219129
42669.6768399918,0.197483,-0.000334,0.218504
42669.6768400034,0.19717,0.000291,0.217567
42669.676840015,0.19717,-0.000646,0.220067
42669.6768400265,0.198108,-0.000334,0.229129
42669.6768400381,0.197483,-0.000646,0.222566
42669.6768400497,0.198108,-2.2e-05,0.223816
42669.6768400613,0.19717,-0.000646,0.221316
42669.6768400728,0.197483,-0.000334,0.222566
42669.6768400844,0.19717,-0.000334,0.222879
42669.676840096,0.19717,-0.000334,0.221316
42669.6768401076,0.19717,0.000603,0.220379
42669.6768401191,0.198108,-2.2e-05,0.224754
42669.6768401307,0.196858,-0.001271,0.221629
42669.6768401423,0.197483,0.000603,0.219129
42669.6768401539,0.198108,-0.000646,0.229129
42669.6768401654,0.19717,-0.001271,0.222566
42669.676840177,0.19717,-0.000646,0.219129
42669.6768401886,0.197796,-0.000334,0.221941
42669.6768402002,0.197796,-0.000646,0.221316
42669.6768402117,0.19717,-0.000334,0.219442
42669.6768402233,0.197483,-0.000334,0.218192
42669.6768402349,0.197796,-0.000334,0.218817
42669.6768402465,0.19717,-0.000646,0.218192
42669.676840258,0.198108,-0.000958,0.228816
42669.6768402696,0.19717,-0.000334,0.222879
42669.6768402812,0.197483,-2.2e-05,0.221316
42669.6768402927,0.197483,-0.000646,0.222254
42669.6768403043,0.197483,-0.000334,0.222254
42669.6768403159,0.197483,-0.000646,0.221316
42669.6768403275,0.196858,-0.000334,0.219754
42669.676840339,0.19717,0.000291,0.218504
42669.6768403506,0.197796,-2.2e-05,0.222254
42669.6768403622,0.197796,-0.001271,0.225379
42669.6768403738,0.196858,-2.2e-05,0.216629
42669.6768403853,0.19717,0.000603,0.216004
42669.6768403969,0.198108,-2.2e-05,0.225066
42669.6768404085,0.197796,-0.000958,0.227879
42669.6768404201,0.197796,-0.000334,0.221941
42669.6768404316,0.19717,-2.2e-05,0.221629
42669.6768404432,0.197483,-0.000646,0.219754
42669.6768404548,0.19717,-2.2e-05,0.216942
42669.6768404664,0.197483,-0.000334,0.216317
42669.6768404779,0.197796,-0.000958,0.219129
42669.6768404895,0.197796,-2.2e-05,0.222566
42669.6768405011,0.198108,-0.000646,0.224754
42669.6768405127,0.19717,0.000603,0.221629
42669.6768405242,0.197796,0.000291,0.219754
42669.6768405358,0.197483,-2.2e-05,0.221316
42669.6768405474,0.197483,-0.000334,0.221941
42669.676840559,0.19717,-0.000646,0.221316
42669.6768405705,0.198108,-0.000334,0.226629
42669.6768405821,0.196545,0.000603,0.216317
42669.6768405937,0.198421,-2.2e-05,0.228191
42669.6768406053,0.19717,0.000291,0.219442
42669.6768406168,0.198108,-2.2e-05,0.222566
42669.6768406284,0.197796,-0.000958,0.224129
42669.67684064,0.196858,-0.000646,0.218817
42669.6768406515,0.197483,-0.000646,0.222566
42669.6768406631,0.197796,-0.000334,0.222879
42669.6768406747,0.197483,-0.000334,0.221316
42669.6768406863,0.197483,-0.000334,0.218817
42669.6768406978,0.197483,-2.2e-05,0.217567
42669.6768407094,0.197483,-0.000334,0.218192
42669.676840721,0.198108,-0.000646,0.224441
42669.6768407326,0.197483,0.000291,0.225691
42669.6768407441,0.197483,0.000603,0.223191
42669.6768407557,0.196858,-0.000646,0.217879
42669.6768407673,0.197796,-2.2e-05,0.223191
42669.6768407789,0.19717,0.000291,0.219442
42669.6768407904,0.198108,-0.001271,0.229129
42669.676840802,0.197796,-0.000334,0.225066
